tipo_red,fecha,configuracion,segundos_entrenamiento,epoca,error_train,error_test,accuracy_train,precision_train,recall_train,f1_score_train,accuracy_test,precision_test,recall_test,f1_score_test
ANN,2022-09-23 12:19:00.741642,ANN_capas=[10; 10; 1]_activaciones=['relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=10,45.313530921936035,50.0,70519.91242195356,59305.700231933864,---,---,---,---,---,---,---,---
ANN,2022-09-23 12:19:26.075267,ANN_capas=[10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=10,25.163196802139282,20.0,63024.95251882385,57541.599282605974,---,---,---,---,---,---,---,---
ANN,2022-09-23 12:20:13.853783,ANN_capas=[10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=10,47.140597343444824,18.0,115869.87901952777,120431.77361477328,---,---,---,---,---,---,---,---
ANN,2022-09-23 12:23:05.177662,ANN_capas=[10; 10; 10; 10; 10; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=10,46.78381896018982,50.0,65503.054218868296,56579.76910521993,---,---,---,---,---,---,---,---
ANN,2022-09-23 12:23:29.717294,ANN_capas=[10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=10,24.1406466960907,17.0,62958.01775786782,59104.70167423231,---,---,---,---,---,---,---,---
ANN,2022-09-23 12:23:52.742747,ANN_capas=[10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 10; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=10,22.73281502723694,14.0,61390.78654000126,59431.1142752683,---,---,---,---,---,---,---,---
ANN,2022-09-23 12:35:45.061135,ANN_capas=[4; 4; 4; 4; 4; 4; 4; 4; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=10,49.197681188583374,50.0,236710.1148324676,237580.24106394034,---,---,---,---,---,---,---,---
ANN,2022-09-23 12:36:37.448247,ANN_capas=[8; 8; 8; 8; 8; 8; 8; 8; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=10,52.17586302757263,50.0,65505.46358892516,56168.07691206812,---,---,---,---,---,---,---,---
ANN,2022-09-23 12:37:18.793877,ANN_capas=[16; 16; 16; 16; 16; 16; 16; 16; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=10,41.198633909225464,39.0,60330.812823962515,57547.789670846614,---,---,---,---,---,---,---,---
ANN,2022-09-23 12:37:37.254203,ANN_capas=[32; 32; 32; 32; 32; 32; 32; 32; 1]_activaciones=['relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'relu'; 'linear']_inicializadorKernel=glorot_uniform_inicializadorSesgo=zeros_batchSize=32_optimizador=adam_paciencia=10,18.32532501220703,16.0,58790.15972082403,60150.15451351726,---,---,---,---,---,---,---,---
